product_name,price,company,location,url,category,rating
Best In Class CNC Machines,21560.77,Monotech Engineers Private Limited,"['USA', 'Nepal', 'Sri Lanka']",https://export.indiamart.com/products/?id=2855667963388,CNC Machine,
Nesting CNC Router Machine,23807.63,Jai Industries,"['USA', 'Nepal', 'Sri Lanka']",https://export.indiamart.com/products/?id=23025032530,CNC Machine,
Cnc Commercial Machine,7829.96,Success Technologies,"['USA', 'Nepal', 'Bhutan']",https://export.indiamart.com/products/?id=2853257748991,CNC Machine,
Cnc Router Machine,3007.16,Mtech Laser India Private Limited,"['USA', 'Saudi Arabia', 'Nepal']",https://export.indiamart.com/products/?id=2849600292762,CNC Machine,
SM 2536 4A S2 Cnc Stone Engraving Machine,19518.17,Shusa Mechatronics,"['USA', 'Saudi Arabia', 'Nepal']",https://export.indiamart.com/products/?id=2854352996291,CNC Machine,
Mild Steel CNC Machine,39717.21,K M Trivedi Engineering Pvt. Ltd.,"['USA', 'Bangladesh', 'Nepal']",https://export.indiamart.com/products/?id=23277808830,CNC Machine,
Cnc Machine,2836.94,Lipi Marketing Private Limited,"['Sri Lanka', 'Peru']",https://export.indiamart.com/products/?id=2855330774688,CNC Machine,
CNC Machine For Crank Case Operations,47660.66,Patson Machines Private Limited,['USA'],https://export.indiamart.com/products/?id=11383543512,CNC Machine,
Metal Embossed Mobile Phone Sling Style Holders With Stone Inlay For Fashion Accessory Stores,5.67,Ravi Exports,"['USA', 'UK', 'Canada']",https://export.indiamart.com/products/?id=2854190341788,Mobile Phone Accessories,
"Mobile Accessories Security Display Hook, Size: Large, Model Name/Number: BBE83526DGF",5.56,Baba Barfani Exports Private Limited,"['USA', 'Nepal', 'Saudi Arabia']",https://export.indiamart.com/products/?id=17289635188,Mobile Phone Accessories,
Polycarbonate Mobile Accessories Packaging Pouches,0.03,Go Green Non Woven Bags,"['USA', 'Nepal', 'Oman']",https://export.indiamart.com/products/?id=2855566801973,Mobile Phone Accessories,
"White CADYCE USB C To USB 3.0 Micro B Cable, Cable Size: 1.2, For Mobile Phone",10.78,3A Exports,"['USA', 'Nepal', 'Bangladesh']",https://export.indiamart.com/products/?id=9525240955,Mobile Phone Accessories,
Wooden Sheesham Mobile Phone Stand Cell Phone Stand Assembled Natural Polished Rectangle Tabletop,0.96,Shining India Crafts,"['USA', 'UK', 'Canada']",https://export.indiamart.com/products/?id=2855089962033,Mobile Phone Accessories,
Brown Designer Mobile Leather Pouch,6.7,Handicraft Villa,"['USA', 'UK', 'Canada']",https://export.indiamart.com/products/?id=2854628770997,Mobile Phone Accessories,
Iphone Wooden Mobile Stand,7.94,Shivay Overseas,"['USA', 'Singapore', 'Canada']",https://export.indiamart.com/products/?id=24206436933,Mobile Phone Accessories,
Marbel Mobile Phone Stand,3.74,M.A. Exports,"['USA', 'UK', 'Canada']",https://export.indiamart.com/products/?id=2853608324891,Mobile Phone Accessories,
Mobile Phone Metal Stand (Silver),0.79,Abhi Group,"['USA', 'UK', 'Qatar']",https://export.indiamart.com/products/?id=24269492012,Mobile Phone Accessories,
